2017-07-13T20:00:33+0000,980601328736431_1062145370582026,"160,000+ US cancer deaths every year are linked to #smoking. Smoking can cause cancer almost anywhere in the body. http://bit.ly/2tSbaxi",2017-07-14T11:56:26+0000,Jennie Wilman,"Wish people would listen.but it""s hard to give up"
2017-07-13T20:00:33+0000,980601328736431_1062145370582026,"160,000+ US cancer deaths every year are linked to #smoking. Smoking can cause cancer almost anywhere in the body. http://bit.ly/2tSbaxi",2017-07-15T00:09:56+0000,Linda Berlin,And yet its legal.
2017-07-13T20:00:33+0000,980601328736431_1062145370582026,"160,000+ US cancer deaths every year are linked to #smoking. Smoking can cause cancer almost anywhere in the body. http://bit.ly/2tSbaxi",2017-07-15T14:14:01+0000,Martha Gonzalez,Shared
2017-07-13T20:00:33+0000,980601328736431_1062145370582026,"160,000+ US cancer deaths every year are linked to #smoking. Smoking can cause cancer almost anywhere in the body. http://bit.ly/2tSbaxi",2017-07-15T16:57:26+0000,Mary Till,Should be ILLEGAL!!!!!
2017-07-13T16:01:34+0000,980601328736431_1062005677262662,"Using #tobacco products can lead to addiction and expose you to toxic, cancer-causing chemicals. http://bit.ly/2uvU1HI",2017-07-14T19:50:48+0000,Darlene Hunke,Do does weed and it is so much worse
2017-07-12T22:00:30+0000,980601328736431_1061544820642081,"#Smoking can weaken your immune system, leaving you more vulnerable to bronchitis & pneumonia. http://bit.ly/2sHRInS",2017-07-12T22:32:42+0000,Louise Binion,So VERY TRUE
2017-07-12T22:00:30+0000,980601328736431_1061544820642081,"#Smoking can weaken your immune system, leaving you more vulnerable to bronchitis & pneumonia. http://bit.ly/2sHRInS",2017-07-14T20:50:55+0000,Mary Till,Yep
2017-07-12T20:00:16+0000,980601328736431_1061506040645959,"In the US, about 20% of all deaths are caused by a #smoking-related disease every year. http://bit.ly/2tSGA7N",2017-07-13T01:37:26+0000,Lyndon Schancer,Sweet
2017-07-12T20:00:16+0000,980601328736431_1061506040645959,"In the US, about 20% of all deaths are caused by a #smoking-related disease every year. http://bit.ly/2tSGA7N",2017-07-14T02:36:00+0000,Edward Lippiett,So outlaw it
2017-07-12T20:00:16+0000,980601328736431_1061506040645959,"In the US, about 20% of all deaths are caused by a #smoking-related disease every year. http://bit.ly/2tSGA7N",2017-07-14T14:55:28+0000,Angela Jones,Wish I never started!
2017-07-12T20:00:16+0000,980601328736431_1061506040645959,"In the US, about 20% of all deaths are caused by a #smoking-related disease every year. http://bit.ly/2tSGA7N",2017-07-14T16:07:03+0000,Frank Lehenbauer,"So true! It's has taken member of my family! Horrible deaths, you go slowly in pain"
2017-07-12T20:00:16+0000,980601328736431_1061506040645959,"In the US, about 20% of all deaths are caused by a #smoking-related disease every year. http://bit.ly/2tSGA7N",2017-07-14T17:15:37+0000,Glis Horti,More bullshit lies.
2017-07-12T16:00:29+0000,980601328736431_1061400390656524,"Even if you don’t smoke, you could be breathing in the deadly mix by being around smokers. http://bit.ly/2uLBK8C #cigarettes",2017-07-13T10:10:40+0000,Larry Christensen,That's right second hand cigarette smoke kills.
2017-07-12T16:00:29+0000,980601328736431_1061400390656524,"Even if you don’t smoke, you could be breathing in the deadly mix by being around smokers. http://bit.ly/2uLBK8C #cigarettes",2017-07-13T21:44:47+0000,Carol Masterson,Wtf why does this shit keep popping up on my feed! Piss off!!!
